id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier
kiryat-yearim,מועצה מקומית קריית-יערים,Kiryat Ye'arim,local,jerusalem,jewish,found,yes,no,5000,מועצה מקומית
kisra-sumei,כסרא-סמיע,Kisra-Sumei,local,north,druze,found,yes,no,9108,מועצה מקומית
kochav-yair,מועצה מקומית כוכב-יאיר,Kochav Yair,local,center,jewish,found,yes,no,8949,מועצה מקומית
kuseife,כסיפה,Kuseife,local,south,bedouin,found,yes,no,23219,עיירה
laqye,לקיה,Laqye,local,south,bedouin,found,yes,no,15295,מועצה מקומית
migdal,מועצה מקומית מגדל,Migdal,local,north,jewish,found,yes,no,3000,מועצה מקומית
reina,ריינה,Reina,local,north,arab,found,yes,no,14000,מועצה מקומית
sajur,סג'ור,Sajur,local,north,druze,found,yes,no,7000,מועצה מקומית
shab-al-salim,שעב,Shab al-Salim,local,north,arab,found,yes,no,5000,מועצה מקומית
shibli-umm-al-ghanam,שבלי-אום אל-ע'נם,Shibli,local,north,arab,found,yes,no,5000,מועצה מקומית
taibeh-north,טייבה-צפון,Taibeh (North),local,north,arab,found,yes,no,8000,מועצה מקומית
tel-mond,מועצה מקומית תל-מונד,Tel Mond,local,center,jewish,found,yes,no,14179,מועצה מקומית
tuba-zangariyye,טובא-זנגרייה,Tuba-Zangariyye,local,north,arab,found,yes,no,8000,מועצה מקומית
usfiya,עוספיא,Usfiya,local,haifa,druze,found,yes,no,15000,מועצה מקומית
yarka,ירכא,Yarka,local,north,druze,found,yes,no,16000,מועצה מקומית
lehavim,מועצה מקומית להבים,Lehavim,local,south,jewish,found,yes,no,6977,מועצה מקומית
maale-efraim,מועצה מקומית מעלה-אפרים,Maale Efraim,local,judea-samaria,jewish,found,yes,no,7000,מועצה מקומית
maale-iron,מעלה-עירון,Maale Iron,local,haifa,arab,found,yes,no,12000,מועצה מקומית
maghar,מג'אר,Maghar,local,north,mixed,found,yes,no,34000,עיירה
majdal-shams,מג'דל-שמס,Majdal Shams,local,north,druze,found,yes,no,11405,מועצה מקומית
masada,מסעדה,Masada,local,north,druze,found,yes,no,10000,מועצה מקומית
mashhad,משהד,Mashhad,local,north,arab,found,yes,no,8655,מועצה מקומית
mazraa,מזרעה,Mazraa,local,north,arab,found,yes,no,4078,מועצה מקומית
meitar,מועצה מקומית מיתר,Meitar,local,south,jewish,found,yes,no,10565,מועצה מקומית
mevaseret-zion,מועצה מקומית מבשרת-ציון,Mevaseret Zion,local,jerusalem,jewish,found,yes,no,25000,עיירה
mielya,מעיליא,Mielya,local,north,arab,found,yes,no,4000,מועצה מקומית
nahef,נחף,Nahef,local,north,arab,found,yes,no,9000,מועצה מקומית
neot-hovav,מועצה מקומית נאות-חובב,Neot Hovav,local,south,jewish,found,yes,no,2000,מועצה מקומית
oranit,מועצה מקומית אורנית,Oranit,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית
pardesia,מועצה מקומית פרדסיה,Pardesia,local,center,jewish,found,yes,no,7251,מועצה מקומית
peqiin,פקיעין,Peqiin,local,north,druze,found,yes,no,5000,מועצה מקומית
ramat-yishay,מועצה מקומית רמת-ישי,Ramat Yishay,local,north,jewish,found,no,yes,7000,מועצה מקומית
rameh,ראמה,Rameh,local,north,arab,found,yes,no,8000,מועצה מקומית
rekhasim,מועצה מקומית רכסים,Rekhasim,local,haifa,jewish,found,yes,no,16000,מועצה מקומית
savyon,מועצה מקומית סביון,Savyon,local,center,jewish,found,yes,no,4051,מועצה מקומית
segev-shalom,שגב-שלום,Segev Shalom,local,south,bedouin,found,yes,no,11865,מועצה מקומית
shab,שעב,Sha'ab,local,north,arab,found,yes,no,5000,מועצה מקומית
shlomi,מועצה מקומית שלומי,Shlomi,local,north,jewish,found,yes,no,8000,מועצה מקומית
shoham,מועצה מקומית שהם,Shoham,local,center,jewish,found,yes,no,21441,עיירה
tel-sheva,תל-שבע,Tel Sheva,local,south,bedouin,found,yes,no,22187,עיירה
turan,טורעאן,Tur'an,local,north,arab,found,yes,no,19000,מועצה מקומית
yafa-an-naseriyye,יפיע,Yafa an-Naseriyye,local,north,arab,found,yes,no,20000,עיירה
yanuh-jat,יאנוח-ג'ת,Yanuh-Jat,local,north,druze,found,yes,no,7000,מועצה מקומית
yavneel,מועצה מקומית יבנאל,Yavneel,local,north,jewish,found,yes,yes,5000,מועצה מקומית
alona,מועצה אזורית אלונה,Alona,regional,haifa,jewish,found,yes,no,,מועצה אזורית
beer-tuvia,מועצה אזורית באר-טוביה,Beer Tuvia,regional,south,jewish,found,yes,no,23841,מועצה אזורית
binyamin,מועצה אזורית מטה-בנימין,Mateh Binyamin,regional,judea-samaria,jewish,found,yes,no,15000,מועצה אזורית
brener,מועצה אזורית ברנר,Brener,regional,center,jewish,found,yes,no,8046,מועצה אזורית
bustan-al-marj,בוסתאן-אל-מרג',Bustan al-Marj,regional,north,arab,found,yes,no,8137,מועצה אזורית
central-arava,מועצה אזורית ערבה-תיכונה,Central Arava,regional,south,jewish,found,yes,no,3772,מועצה אזורית
daliyat-karmel,דאלית-אל-כרמל,Daliyat al-Karmel,regional,haifa,druze,found,yes,no,18000,מועצה אזורית
drom-hasharon,מועצה אזורית דרום-השרון,Drom HaSharon,regional,center,jewish,found,yes,no,34327,מועצה אזורית
el-batouf,אל-בטוף,El-Batouf,regional,north,arab,found,yes,no,8408,מועצה אזורית
emek-hamayanot,מועצה אזורית עמק-המעיינות,Emek Hama'ayanot,regional,north,jewish,found,yes,no,14377,מועצה אזורית
eshkol,מועצה אזורית אשכול,Eshkol,regional,south,jewish,found,yes,no,15205,מועצה אזורית
galil-elion,מועצה אזורית גליל-עליון,Galil Elion,regional,north,jewish,found,yes,no,19440,מועצה אזורית
gan-rave,מועצה אזורית גן-רוה,Gan Rave,regional,center,jewish,found,yes,no,6585,מועצה אזורית
gderot,מועצה אזורית גדרות,Gderot,regional,center,jewish,found,yes,no,5192,מועצה אזורית
har-hevron,מועצה אזורית הר-חברון,Har Hevron,regional,judea-samaria,jewish,found,no,yes,17000,מועצה אזורית
hevel-eilot,מועצה אזורית חבל-אילות,Hevel Eilot,regional,south,jewish,found,yes,no,4745,מועצה אזורית
hevel-yavne,מועצה אזורית חבל-יבנה,Hevel Yavne,regional,center,jewish,found,yes,no,6920,מועצה אזורית
hof-ashkelon,מועצה אזורית חוף-אשקלון,Hof Ashkelon,regional,south,jewish,found,yes,no,19295,מועצה אזורית
hof-hakarmel,מועצה אזורית חוף-הכרמל,Hof HaKarmel,regional,haifa,jewish,found,yes,no,36000,מועצה אזורית
hof-hasharon,מועצה אזורית חוף-השרון,Hof HaSharon,regional,center,jewish,found,yes,no,14872,מועצה אזורית
jordan-valley,מועצה אזורית בקעת-הירדן,Jordan Valley,regional,judea-samaria,jewish,found,yes,no,10000,מועצה אזורית
